word,word count
gonna,13
quack,5
pregnant,4
willick,4
involved,4
bunch,3
issues,3
dumped,3
wanted,3
actually,3
doing,3
basically,2
ahem,2
advice,2
fluffed,2
suggesting,2
someone,2
engagement,2
twirly,2
thought,2
sure,2
chaotic,2
doy,2
marlon,2
careful,2
folks,2
though,2
wondering,2
knock,2
totally,2
oberman,2
curry,2
satisfied,1
won't,1
mastodon,1
scaring,1
entire,1
imaginary,1
worse,1
terrific,1
ammunition,1
seeing,1
belongs,1
exactly,1
pee,1
punches,1
glacier's,1
dinosaur,1
amazing,1
listening,1
erect,1
lasagna,1
honeymoon,1
graduated,1
noodles,1
calm,1
twins,1
cruel,1
chubby,1
marsha,1
banging,1
farber,1
stuck,1
greenspan's,1
fighting,1
otherwise,1
enterprise,1
supportive,1
wedding,1
nose,1
preferred,1
thighmaster,1
twin,1
dreading,1
lugwins,1
complicated,1
heat,1
tilt,1
decisions,1
highpowered,1
cheap,1
quite,1
least,1
raise,1
steer,1
ugly,1
neither,1
unbelievably,1
cancer,1
aruba,1
independent,1
standup,1
concert's,1
shell,1
recently,1
honor,1
concerned,1
slowed,1
mothertobe,1
although,1
gotta,1
ruined,1
harder,1
naked,1
wants,1
gagging,1
cave,1
three's,1
swallowing,1
imagined,1
particular,1
maid,1
selfish,1
attack,1
dead,1
obgyn,1
sonogram,1
presumably,1
abuse,1
careertype,1
lenses,1
carpet,1
cervix,1
balled,1
lugwin's,1
bought,1
nervous,1
flatness,1
apparently,1
gee,1
tan,1
bringing,1
far,1
dinah,1
plugs,1
nausea,1
hairline,1
waitress,1
pretty,1
harmonica,1
pros,1
sitting,1
stomped,1
spit,1
awake,1
honestly,1
challenge,1
misunderstanding,1
