word,word count
gonna,9
thumb,5
someone,5
doing,5
means,4
farm,4
cell,3
tip,3
care,3
gotta,3
actually,3
bugs,3
crooked,3
fair,3
accept,3
weird,2
buddy,2
since,2
pretty,2
sure,2
dating,2
rest,2
unfair,2
dimon,2
quit,2
die,2
fun,2
chichi,2
tart,2
relieved,2
annoying,2
wants,2
sock,2
weak,2
unbelievable,2
lizzy,2
gum,2
picking,2
knucklecracking,2
giant,1
whoa,1
alphabet,1
latte,1
stepped,1
satan's,1
tiny,1
rough,1
subway,1
vu,1
cartoon,1
earn,1
patch,1
hold,1
iced,1
nursery,1
minions,1
rhyme,1
wanted,1
otherwise,1
y's,1
pair,1
hasidic,1
coming,1
loosely,1
hitchhiker,1
chop,1
cancer,1
impression,1
milners,1
gloves,1
underwear,1
indeed,1
softball,1
worse,1
against,1
herd,1
putting,1
extra,1
collect,1
saltines,1
won't,1
monthly,1
pretending,1
ridiculous,1
skipping,1
statement,1
pretzel,1
vowels,1
alanbashing,1
warden,1
endearing,1
laughs,1
mention,1
tinfoil,1
knowing,1
karmic,1
floating,1
gee,1
innate,1
odds,1
alanness,1
nicer,1
reward,1
complaining,1
adore,1
overpronouncing,1
cushions,1
constant,1
hasselhoff,1
ouch,1
holding,1
bother,1
stealing,1
puff,1
excellent,1
milner's,1
flaw,1
slimmer,1
disease,1
deja,1
lamb,1
flaws,1
gross,1
brought,1
instead,1
yardstick,1
inconvenience,1
contest,1
wrist,1
yep,1
chews,1
emphysema,1
measured,1
chase,1
decaf,1
gift,1
notice,1
complete,1
somebody's,1
jewelers,1
naked,1
leatherwearing,1
debt,1
worth,1
ahem,1
snort,1
bought,1
