word,word count
gonna,5
puck,5
fun,5
drop,5
towel,5
omnipotent,5
doing,4
beans,4
totally,3
peach,3
thought,3
buddy,2
activity,2
fica,2
amazing,2
cute,2
gotta,2
glow,2
twister,2
messier,2
satisfied,2
actually,2
bunch,2
leetch,2
dead,2
extra,2
whoa,2
completely,2
coming,2
unusual,2
blobbies,2
waitressing,2
hold,2
stephanopoulos,2
pal,2
less,2
independent,1
painkillers,1
slumber,1
possibilities,1
grade,1
freak,1
kingdom,1
woke,1
pretty,1
ahem,1
earned,1
apron,1
mushroom,1
weepers,1
elbows,1
rum,1
dairy,1
promoted,1
attractive,1
adviser,1
whatever,1
reference,1
considered,1
onion,1
dented,1
beanstalk,1
campaign,1
frost,1
lambs,1
steamed,1
reassure,1
since,1
unless,1
candy,1
admit,1
snuffleupagus,1
pla,1
stephanopoulos',1
mines,1
peaches,1
dirt,1
hoping,1
nodded,1
kidding,1
arturo,1
consummated,1
cavein,1
costumes,1
mediterranean,1
preppy,1
why's,1
uhoh,1
seats,1
pregnant,1
downstairs,1
coma,1
roughhousing,1
forever,1
quite,1
complicated,1
toothless,1
ohbonehead,1
punch,1
passes,1
goose,1
emergency,1
sweet,1
guessing,1
constantly,1
hitting,1
curiously,1
ain't,1
monopoly,1
boobs,1
lets,1
peaceful,1
locker,1
plant,1
mention,1
crease,1
toe,1
pate,1
foam,1
rangerspenguins,1
sticks,1
prep,1
unbelievable,1
wishes,1
basically,1
bonehead,1
spots,1
specifically,1
brought,1
tweezers,1
fatfree,1
bus,1
nectarines,1
finders,1
suit,1
butt,1
lover,1
wake,1
hurley,1
stunning,1
dough,1
trashy,1
rubber,1
insecure,1
duplex,1
deaf,1
pants,1
wiped,1
sitting,1
spying,1
exciting,1
operate,1
pee,1
glue,1
predicament,1
least,1
dumping,1
er,1
terrific,1
flupie,1
napping,1
theglasslshalfempty,1
unflupie,1
bigger,1
swear,1
rollerson,1
reality,1
incredible,1
judge,1
excellent,1
definitely,1
dora,1
worth,1
tiki,1
crust,1
