word,word count
laundry,10
suds,5
angela,4
cart,4
whites,4
smart,3
laundry's,3
bullwinkle,3
beyond,2
gotta,2
lens,2
dryer,2
horrible,2
anymore,2
underwear,2
latte,2
yep,2
delicates,2
auditions,2
except,2
squirrel,2
breakup,2
gentle,2
horribly,2
sophisticated,2
detergent,1
nibbley,1
inappropriate,1
sheets,1
hug,1
scrunchie,1
sitting,1
fuzzy,1
bras,1
extended,1
handed,1
naked,1
virgin,1
sing,1
softener,1
agrees,1
shave,1
moose,1
anytime,1
wonderful,1
strike,1
bear,1
puppies,1
heads,1
awful,1
alphabet,1
disgusting,1
cakey,1
marshmallow,1
courage,1
hen,1
wings,1
tall,1
flopping,1
underpanty,1
appalachia,1
obviously,1
camper,1
glad,1
attractive,1
maneuver,1
ripped,1
caught,1
hell's,1
worry,1
boom,1
belch,1
weasel,1
inflate,1
launderama,1
peep,1
huge,1
rethink,1
fluffy,1
rat,1
wants,1
favor,1
supremely,1
blows,1
attracted,1
bra,1
pieces,1
rockys,1
awkward,1
burns,1
bandaid,1
noise,1
fabric,1
unfortunately,1
bam,1
cocktails,1
proofs,1
exposed,1
convertible,1
heights,1
ganging,1
cleveland,1
incredible,1
mitzi,1
gift,1
blew,1
tons,1
nutty,1
worst,1
coincidence,1
lalalalalalalala,1
judgment,1
glamour,1
upset,1
pie,1
eager,1
terrific,1
ear,1
grieve,1
quit,1
spaz,1
nuhuh,1
brandnew,1
laying,1
underdog,1
perfect,1
cotton,1
freakish,1
breasts,1
tough,1
wound,1
snuggles,1
proud,1
uberweiss,1
apart,1
ought,1
sucked,1
concerned,1
yeahhuh,1
total,1
apparently,1
asking,1
waist,1
whoa,1
neat,1
dumped,1
tile,1
virginity,1
choruses,1
waiter,1
accents,1
standing,1
shutting,1
norman,1
excellent,1
