word,word count
ethan,7
butt,7
rick,6
al,5
pacino,3
aurora,3
until,3
imagine,3
robe,3
kook,3
sense,2
resentment,2
borrow,2
notice,2
raggedy,2
ottoman,2
pacino's,2
seriously,2
freud,2
spout,1
pan,1
madcap,1
sliding,1
exclamation,1
tried,1
grinch's,1
responsibility,1
crack,1
dinkle,1
worry,1
upset,1
jokes,1
scares,1
less,1
asking,1
leaving,1
easypour,1
wasted,1
rode,1
fear,1
manner,1
coaster,1
opportunity,1
exciting,1
doll,1
eva,1
passion,1
wonder,1
involved,1
remind,1
obligated,1
bothers,1
meant,1
condensation,1
he'snew,1
hire,1
usher,1
barely,1
suppose,1
tinkle,1
block,1
gal,1
tada,1
considering,1
crappy,1
troll,1
subway,1
unfair,1
expecting,1
rolling,1
whenever,1
strewn,1
reckless,1
clenching,1
bill,1
talent,1
envy's,1
divorced,1
doom,1
regret,1
prove,1
attachments,1
impending,1
awful,1
beads,1
grocery,1
estelle,1
wells,1
except,1
struggling,1
moisturizer,1
fired,1
nope,1
completely,1
tricky,1
inching,1
aware,1
quite,1
casually,1
losing,1
courtroom's,1
schwang,1
widowed,1
unattainable,1
worth,1
brush,1
violated,1
excellent,1
forth,1
gotten,1
haphazard,1
laundry,1
compare,1
concept,1
greeting,1
scratch,1
organized,1
naked,1
detergent,1
scrub,1
warned,1
measuring,1
responsible,1
leakey,1
disturbing,1
shower,1
least,1
league,1
closer,1
hopefully,1
