word,word count
perfection,5
stuck,5
passion,4
blackout,4
candles,3
weirdest,2
ride,2
crapweasel,2
york,2
won't,2
pool,2
trapped,2
since,2
choking,2
shushing,2
laying,1
atrium,1
messing,1
perk,1
wax,1
mangled,1
hanukkah,1
'cause,1
miniaturegolf,1
lala,1
explanation,1
officiating,1
impish,1
groundwork,1
sixes,1
hopefully,1
proud,1
scared,1
blacked,1
sad,1
bubble,1
huge,1
trampled,1
owe,1
burn,1
tootie,1
focus,1
priesthood,1
burns,1
candle's,1
looters,1
milwaukee,1
borrow,1
throw,1
peacock,1
bermuda,1
mental,1
stickbut,1
letting,1
spooky,1
loathe,1
jewish,1
waited,1
eventually,1
overrated,1
definitive,1
exciting,1
wondering,1
mayor,1
that'll,1
bunch,1
mopeds,1
carcass,1
theme,1
entire,1
eligible,1
rabbi,1
superficial,1
dutch,1
sugarless,1
roommate,1
chewing,1
wanting,1
bite,1
mellons,1
bubble's,1
tootie's,1
charm,1
ment,1
betcha,1
definitely,1
sour,1
anywhere,1
boyish,1
bactine,1
tape,1
guessing,1
hen,1
naked,1
