word,word count
lowell,4
burgundy,4
buried,3
debbie,3
naked,3
died,3
gay,3
league,3
andrea,2
hearing,2
smart,2
gang,2
wonder,2
shelly,2
spasm,2
funeral,2
sweetie,2
gorgeous,2
nurse,2
frightening,2
payroll,2
earrings,2
predictable,1
sweetheart,1
dorothy,1
bearings,1
bernie,1
muscle's,1
worry,1
heel,1
greatest,1
whew,1
though,1
toilet,1
radar,1
grownups,1
waste,1
brent,1
eternity,1
remind,1
feature,1
giants,1
gras,1
pantsuit,1
lows,1
java,1
twice,1
cover,1
lightning,1
throw,1
loop,1
score,1
golfing,1
selfdestructive,1
weatherwise,1
musburger,1
accident,1
brian's,1
belt,1
nicer,1
unsaid,1
hated,1
mints,1
breasts,1
spellman,1
fuzzy,1
mardi,1
gross,1
flush,1
lifeaffirming,1
cracker,1
struck,1
fluorescent,1
weird,1
apparently,1
fear,1
slimmer,1
dating,1
phew,1
shame,1
worst,1
ears,1
dehydrated,1
disability,1
remarkably,1
fascinating,1
stealing,1
pills,1
giantscowboys,1
yep,1
sharpened,1
purse,1
glad,1
ruined,1
whenever,1
beeped,1
phyllis,1
ridiculous,1
papiermache,1
honeyglazed,1
vibe,1
codependent,1
pregame,1
saladore,1
dressier,1
retainer,1
vague,1
casket,1
