Слово,Кол-во
i,80
you,71
a,42
the,36
it,27
what,26
no,25
to,23
i'm,23
is,22
me,22
know,21
my,20
that,19
it's,19
just,19
oh,19
be,18
uh,17
so,17
have,17
don't,17
not,16
in,16
hey,15
think,15
we,15
her,15
your,15
you're,14
like,14
she,13
get,13
of,13
this,13
and,13
yeah,12
she's,12
about,11
okay,11
how,10
well,10
look,10
with,10
at,10
here,9
really,9
go,9
right,9
ross,9
that's,9
see,9
brian,9
from,8
was,8
can,8
if,8
did,8
who,8
are,8
could,7
rachel,7
out,7
now,7
were,7
maybe,7
on,7
god,7
when,7
little,7
love,7
rome,6
he's,6
hair,6
something,6
say,6
fine,6
up,6
quality,6
gone,6
yes,6
chandler,6
tell,6
nana,6
huh,6
do,6
great,6
what's,5
guys,5
told,5
looks,5
would,5
monica,5
gonna,5
feel,5
because,5
but,5
all,5
going,5
mom,5
those,4
got,4
mean,4
then,4
dad,4
i'd,4
good,4
nice,4
for,4
people,4
burgundy,4
there,4
every,4
shoes,4
had,4
may,4
fun,4
one,4
time,4
he,4
ha,4
hi,4
lowell,4
met,3
paolo,3
debbie,3
believe,3
naked,3
most,3
sorry,3
these,3
phoebe,3
calling,3
everyone,3
league,3
ever,3
wanna,3
sea,3
talking,3
would've,3
thought,3
sure,3
actually,3
want,3
doing,3
they,3
died,3
passed,3
funny,3
why,3
gay,3
better,3
how's,3
nana's,3
nothing,3
back,3
wow,3
more,3
buried,3
listen,3
day,3
first,3
pheebs,3
aw,3
dead,3
,2
him,2
best,2
wanted,2
they're,2
stuff,2
spasm,2
dress,2
who's,2
shelly,2
cute,2
hearing,2
spent,2
says,2
or,2
any,2
financial,2
ready,2
man,2
geller,2
some,2
comes,2
somebody,2
after,2
things,2
way,2
by,2
andrea,2
spend,2
earrings,2
thanks,2
gang,2
watch,2
noodles,2
payroll,2
thing,2
two,2
almost,2
it'd,2
let's,2
them,2
doesn't,2
grandmother,2
different,2
wonder,2
sounds,2
hello,2
frightening,2
make,2
dear,2
wait,2
matter,2
nurse,2
again,2
restaurants,2
exactly,2
guy,2
you'll,2
unless,2
sweetie,2
perfect,2
funeral,2
heh,2
flowers,2
didn't,2
might,2
gorgeous,2
than,2
come,2
services,2
beautiful,2
smart,2
does,2
relax,2
even,2
always,2
need,2
made,2
said,2
shoe,2
friend,2
they'll,2
morning,2
please,1
phew,1
phoebe's,1
shown,1
figured,1
mother,1
bearings,1
pretty,1
predictable,1
musburger,1
worried,1
speaking,1
brian's,1
saturday,1
i've,1
1939,1
kidding,1
sent,1
wasn't,1
apparently,1
lows,1
getting,1
late,1
fascinating,1
jack,1
trees,1
ruined,1
truth,1
least,1
retainer,1
overcoat,1
ridiculous,1
thank,1
pencils,1
nicer,1
giants,1
quick,1
although,1
over,1
joe's,1
brent,1
having,1
our,1
dorothy,1
food,1
night,1
10135,1
junior,1
watching,1
japanese,1
pantsuit,1
sweetheart,1
been,1
grownups,1
crazy,1
honeyglazed,1
worry,1
service,1
toilet,1
byebye,1
papiermache,1
too,1
penis,1
breasts,1
mistake,1
enough,1
question,1
spellman,1
depressed,1
single,1
liked,1
mrs,1
sister,1
score,1
feature,1
belt,1
detail,1
mother's,1
throw,1
missed,1
define,1
days,1
second,1
italy,1
heel,1
ears,1
positive,1
dehydrated,1
enjoy,1
trying,1
along,1
possibly,1
gee,1
fear,1
career,1
dressed,1
cream,1
date,1
without,1
selfdestructive,1
let,1
boat,1
present,1
glad,1
yellow,1
lot,1
coming,1
life,1
stealing,1
worst,1
fuzzy,1
isn't,1
party,1
start,1
problem,1
disability,1
homosexual,1
grow,1
lifeaffirming,1
07883,1
worm,1
mardi,1
realized,1
aunt,1
remarkably,1
bottom,1
hand,1
vibe,1
should,1
sound,1
seeing,1
gross,1
everything,1
also,1
college,1
evening,1
high,1
phyllis,1
wrong,1
show,1
point,1
closed,1
work,1
water,1
boyfriends,1
third,1
old,1
use,1
twice,1
lightning,1
money,1
new,1
other,1
goodbye,1
hours,1
yesterday,1
miniature,1
unsaid,1
checked,1
down,1
body,1
person,1
thinks,1
lunch,1
an,1
picking,1
remind,1
lovely,1
hard,1
weatherwise,1
saw,1
myself,1
else,1
beeped,1
urn,1
doctor,1
vague,1
heads,1
there's,1
lemonyellow,1
susan,1
bye,1
imagine,1
shame,1
birthday,1
wear,1
um,1
sweet,1
she'd,1
turned,1
miss,1
still,1
cover,1
yours,1
whenever,1
'n,1
same,1
couldn't,1
here's,1
checking,1
set,1
football,1
find,1
twentyfour,1
slimmer,1
casket,1
check,1
daughter,1
eternity,1
couple,1
called,1
strong,1
thinking,1
where,1
someone,1
small,1
neither,1
under,1
hated,1
purse,1
1714,1
i'll,1
you'd,1
sharpened,1
air,1
flush,1
java,1
idea,1
can't,1
poppop,1
pregame,1
example,1
whatever,1
excuse,1
gras,1
will,1
pick,1
took,1
using,1
gotta,1
pills,1
left,1
we'll,1
though,1
lights,1
radar,1
feeling,1
being,1
quite,1
golf,1
muscle's,1
twentyfive,1
dressier,1
giantscowboys,1
silver,1
dating,1
yep,1
we're,1
since,1
greatest,1
codependent,1
ugh,1
dorothy's,1
three,1
while,1
into,1
mints,1
probably,1
golfing,1
wine,1
kind,1
loop,1
house,1
pack,1
unbelievable,1
fluorescent,1
critical,1
cracker,1
hope,1
ooh,1
accident,1
saladore,1
drove,1
choice,1
reception,1
course,1
weird,1
bernie,1
goes,1
ham,1
looking,1
us,1
men,1
rest,1
whew,1
sucks,1
never,1
minutes,1
worked,1
struck,1
much,1
waste,1
middle,1
happens,1
