word,word count
i,124
you,104
a,62
and,48
the,40
to,38
it,37
of,29
oh,29
my,27
this,26
know,26
me,25
i'm,24
what,24
just,23
okay,23
was,23
on,22
with,22
paul,21
that,21
no,20
is,20
out,19
all,19
be,19
it's,18
for,17
you're,17
don't,17
like,16
so,16
in,15
have,14
get,14
her,14
your,13
are,13
yeah,13
do,13
right,13
that's,12
if,12
guy,11
well,11
monica,11
can,11
how,11
not,11
or,10
she,10
god,10
joey,9
go,9
had,9
good,9
ross,9
there,8
date,8
did,8
really,8
but,8
think,8
he,8
about,8
hey,8
maybe,8
something,8
one,8
mean,7
got,7
wait,7
am,7
see,7
can't,7
everybody,7
want,7
look,7
come,7
back,7
wanna,7
didn't,7
here,7
morning,7
would,6
wine,6
then,6
woman,6
hi,6
cut,6
sorry,6
who,6
him,5
coffee,5
down,5
life,5
chandler,5
work,5
feel,5
up,5
night,5
shoe,5
only,5
some,5
said,5
why,5
thank,5
going,5
anyway,5
real,5
welcome,4
found,4
need,4
daddy,4
say,4
an,4
i'll,4
very,4
believe,4
went,4
boy,4
stop,4
again,4
today,4
two,4
barry,4
probably,4
now,4
rachel,4
never,4
let,4
always,4
tell,4
ask,4
take,4
guys,4
isn't,4
thing,4
watch,4
when,4
more,4
ever,3
try,3
before,3
where,3
been,3
talk,3
anybody,3
should,3
might,3
being,3
things,3
boat,3
knew,3
four,3
joanie,3
anything,3
nothing,3
grabbed,3
uh,3
push,3
what's,3
married,3
thanks,3
hat,3
high,3
yes,3
even,3
job,3
phoebe,3
live,3
boots,3
looking,3
la,3
stay,3
we,3
time,3
off,3
does,3
tonight,3
love,3
remember,3
he's,3
i've,3
make,3
kind,3
long,3
much,3
wish,3
day,3
,2
new,2
phone,2
them,2
hmm,2
cookie,2
mouth,2
dream,2
getting,2
happy,2
years,2
happened,2
please,2
killed,2
answer,2
could,2
lot,2
brother,2
heh,2
little,2
started,2
such,2
than,2
she's,2
nice,2
left,2
furniture,2
big,2
will,2
trouble,2
school,2
credit,2
&,2
put,2
single,2
sudden,2
were,2
ooh,2
by,2
alone,2
supposed,2
sometime,2
pulled,2
lesbian,2
kids,2
first,2
catch,2
jobs,2
listen,2
stuff,2
we're,2
sex,2
parents,2
fine,2
city,2
guess,2
hello,2
best,2
wasn't,2
buy,2
world,2
line,2
grab,2
give,2
worm,2
great,2
last,1
older,1
million,1
eat,1
brother's,1
clean,1
rule,1
they're,1
carol's,1
break,1
as,1
doesn't,1
string,1
wouldn't,1
asked,1
broke,1
once,1
any,1
relax,1
ring,1
piece,1
into,1
year,1
haven't,1
leg,1
loud,1
ready,1
turns,1
become,1
pain,1
14,1
bed,1
told,1
input,1
she'll,1
making,1
we'll,1
control,1
western,1
roll,1
room,1
50037,1
husband,1
lots,1
known,1
aromatherapy,1
while,1
road,1
sleep,1
card,1
'n,1
enough,1
looks,1
father,1
calls,1
taking,1
case,1
bells,1
production,1
mmhm,1
low,1
person,1
shut,1
turtle,1
hang,1
perform,1
these,1
hit,1
made,1
saying,1
another,1
dear,1
which,1
everyone's,1
moved,1
smiling,1
sometimes,1
came,1
wet,1
walked,1
having,1
idiot,1
waiting,1
potato,1
hero,1
beacon,1
together,1
angry,1
marry,1
cafeteria,1
joan,1
dogs,1
home,1
people,1
carol,1
/,1
luck,1
herself,1
sexually,1
realized,1
stopped,1
breathe,1
us,1
living,1
ice,1
52832,1
cherry,1
way,1
mostly,1
8,1
else,1
ended,1
wearing,1
tv,1
minute,1
question,1
